87924,-21116,-1.2212e+05,11617,-4.6489e+05,43027,1.3271e+05,1.5963e+05,-40034,2108,1.3533e+05,-40998,16148,-1.854e+05,1.8017e+05,12085,-6441,-3951,-41679,1.732e+05
31057,-31047,-1.0768e+05,12743,-2.4871e+05,19379,-24940,-81265,-47145,7511,53699,-19910,-9163,-1.7328e+05,-19149,10821,19522,-23892,-14935,-5.7513e+05
22521,-23393,-89247,14255,-2.0919e+05,2128,-1.7048e+05,-1.0374e+05,-44867,13580,60442,-5843,-30077,-1.5071e+05,-6110,5147,4779,-33774,-14297,-50254
21780,-14185,-70492,14792,-1.6068e+05,-5079,-1.4348e+05,-92001,-42294,16204,58445,1291,-46413,-1.2599e+05,-5937,-11000,-5886,-40730,-9158,22401
13955,-8310,-52127,12685,-1.2405e+05,617,-40325,-58619,-38045,19318,52341,9846,-51004,-1.0464e+05,-427,-34690,-10267,-45866,-6021,65513
8946,-4502,-34668,10907,-98421,6538,25423,-21663,-32275,16931,47576,10978,-40972,-87080,2689,-51040,-11044,-43123,-5674,75548
7428,-1876,-21619,6111,-80742,9337,29488,4951,-26314,15113,44033,15643,-25464,-74028,5315,-52287,-9529,-37851,-1195,66763
6408,-398,-10785,3457,-68824,6002,15909,17566,-20917,10768,40833,13329,-10454,-63768,6078,-37484,-9339,-29379,-3231,53397
4043,-98,-4196,1502,-58506,4403,-4163,21451,-16370,7773,38177,14620,-730,-56022,5924,-21180,-7742,-19588,-2456,38365
4669,-77,798,-1103,-51855,-1034,-13475,19147,-14409,2051,33834,11134,3122,-48948,4815,-9786,-6428,-12422,-2251,26309
3059,-705,4425,-2614,-47025,-1706,-16556,15517,-13983,-735,25734,11721,9640,-42602,3854,-2105,-5371,-7613,-2676,18515
3023,-148,5857,-1817,-42939,-2162,-17788,11239,-15604,-3613,13145,8035,6698,-37311,3128,1823,-4792,-5895,-2319,12826
4234,223,6919,-2476,-39437,-1363,-17199,8107,-18400,-4356,-4374,8427,6373,-32691,2946,4183,-3686,-3856,-1054,10908
2789,443,7260,-2702,-37570,-516,-15622,5754,-23613,-6850,-21073,7896,5627,-28939,2222,4009,-2871,-1961,-287,9199
2334,762,7210,-2074,-37331,840,-13092,4448,-29483,-7701,-35179,6082,5835,-25850,1416,5636,-2867,-938,138,8882
2706,368,6681,-2648,-38178,1705,-9025,3029,-34847,-8452,-40986,6267,5546,-22614,856,5663,-1720,528,-341,7970
2148,1061,6316,-2113,-38654,1766,-5564,2587,-38421,-9455,-40573,3888,4918,-20571,770,6241,-1518,1847,66,6311
2272,859,6706,-1669,-41747,1663,-875,2589,-39217,-8811,-33367,4822,4634,-18932,692,7599,-1312,2126,668,1374
1582,940,5731,-1658,-43432,1741,3962,2723,-37524,-8373,-24225,3188,4530,-17697,792,8269,-628,2883,-205,-2762
1105,505,5745,-2886,-45309,699,7686,3944,-33980,-7864,-16905,3716,4341,-17295,-170,8653,-1007,2989,-21,-8808
666,758,5221,-2520,-47151,703,9371,4784,-28981,-8178,-11933,3038,4013,-17331,-74,8915,-674,2670,-345,-13677
-755,290,5243,-2087,-51643,643,10631,4341,-24892,-7197,-10744,3405,3292,-18112,-439,8743,-712,3003,-1471,-17764
-305,61,4344,-2005,-49753,-361,11481,5404,-20576,-6343,-10072,3023,2088,-19077,-154,8123,-713,3072,-1395,-19851
-934,-201,4286,-2177,-50766,-1280,10437,3455,-17141,-3973,-9034,3166,1117,-19904,-489,7643,-927,4595,-1643,-20975
-1584,-738,3558,-2487,-50672,-1064,-5768,1581,-15416,-3232,-10465,3066,37,-21116,-801,7007,-1220,7164,-1167,-18251
-1951,-1286,3400,-2294,-49413,-1129,-29681,-1549,-13515,-964,-9908,3057,-819,-23338,-946,6000,-1643,9359,-1829,-14092
-1963,-1420,2462,-1403,-47089,-1850,-54349,-5345,-12773,415,-8280,2604,-2779,-24684,-791,5310,-1417,11991,-867,-10372
-2314,-1405,1752,-1531,-44584,-1434,-59859,-7337,-11745,2384,-7262,2633,-4213,-26714,-885,4571,-1780,14861,-1174,-3381
-2394,-1457,1116,-2117,-41252,-1958,-46802,-9647,-11111,3581,-4713,2596,-4977,-28159,-565,3588,-2564,18860,-1071,1001
-1940,-2043,532,-1881,-36868,-2060,-25788,-10404,-10621,5303,-3558,2490,-6448,-30085,233,2913,-2762,19991,-931,5389
